Discount,Sales,Profit,Profit Margin
0.0,1087908.47,320987.6032,29.50501922280282
0.1,54369.351,9029.177,16.607108295259952
0.15,27558.5215,1418.9915,5.14901171312837
0.2,764594.368,90337.306,11.81506296420954
0.3,103226.655,-10369.277399999999,-10.045154906937553
0.32,14493.4588,-2391.1376999999998,-16.49804738120896
0.4,116417.784,-23057.0504,-19.805436598930623
0.45,5484.974,-2493.1111,-45.45347161171593
0.5,58918.54,-20506.4281,-34.80471189544072
0.6,6644.7,-5944.6552,-89.46461390280976
0.7,40620.282,-40075.3569,-98.65849011092538
0.8,16963.756,-30539.0392,-180.02522082963227
