Product Name,Sales,Profit,Quantity
Cubify CubeX 3D Printer Double Head Print,11099.963,-8879.9704,9
Lexmark MX611dhe Monochrome Laser Printer,16829.901,-4589.973,18
Cubify CubeX 3D Printer Triple Head Print,7999.98,-3839.9904,4
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.640000000001,-2876.1156,27
Bush Advantage Collection Racetrack Conference Table,9544.725,-1934.3976,33
GBC DocuBind P400 Electric Binding System,17965.068,-1878.1662000000003,27
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.0784,6
Martin Yale Chadless Opener Electric Letter Opener,16656.2,-1299.1836,22
Balt Solid Wood Round Tables,6518.754,-1201.0581,19
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1706.25,-1148.4375,15
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.175,-1147.4,25
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,1212.705,-1057.23,10
Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,5282.424,-989.0496,24
O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.197,-975.0988,37
Bretford Just In Time Height-Adjustable Multi-Task Work Tables,5634.9,-964.194,17
Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.71,-938.28,6
3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,-872.0751999999999,18
"Bevis Oval Conference Table, Walnut",6942.068,-856.0144,36
Tennsco Single-Tier Lockers,9158.296,-825.7479999999999,28
BPI Conference Tables,2241.8675,-795.9725,26
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,2330.65,-785.7620000000001,13
O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.3668,-767.7436,22
O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.7704,-755.7516,21
Hon 94000 Series Round Tables,7404.5,-681.2139999999999,30
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,-669.5448000000001,24
